"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"19/02/2025","1.605","1.605","1.615","1.600","11,60K","0,00%"
"18/02/2025","1.605","1.615","1.620","1.605","115,80K","0,00%"
"17/02/2025","1.605","1.600","1.605","1.595","9,50K","0,31%"
"14/02/2025","1.600","1.600","1.600","1.585","30,70K","0,31%"
"13/02/2025","1.595","1.595","1.605","1.590","6,00K","0,31%"
"12/02/2025","1.590","1.590","1.590","1.580","22,60K","0,00%"
"11/02/2025","1.590","1.595","1.605","1.580","64,80K","-0,31%"
"10/02/2025","1.595","1.605","1.605","1.595","41,80K","-0,62%"
"07/02/2025","1.605","1.600","1.605","1.600","14,20K","0,31%"
"06/02/2025","1.600","1.620","1.620","1.600","44,40K","-0,93%"
"05/02/2025","1.615","1.615","1.615","1.605","114,00K","0,31%"
"04/02/2025","1.610","1.615","1.615","1.605","15,00K","0,00%"
"03/02/2025","1.610","1.615","1.620","1.610","72,80K","-0,31%"
"31/01/2025","1.615","1.610","1.615","1.610","71,80K","0,62%"
"30/01/2025","1.605","1.615","1.615","1.605","38,10K","-0,62%"
"24/01/2025","1.615","1.610","1.615","1.605","16,50K","0,00%"
"23/01/2025","1.615","1.610","1.620","1.610","20,40K","0,62%"
"22/01/2025","1.605","1.620","1.620","1.600","78,10K","-0,93%"
"21/01/2025","1.620","1.605","1.620","1.605","11,50K","0,93%"
"20/01/2025","1.605","1.610","1.620","1.595","128,20K","0,00%"
"17/01/2025","1.605","1.620","1.620","1.600","16,20K","-0,31%"
"16/01/2025","1.610","1.605","1.620","1.600","24,00K","0,31%"
"15/01/2025","1.605","1.620","1.620","1.590","44,30K","0,00%"
"14/01/2025","1.605","1.600","1.605","1.575","66,30K","0,63%"
"13/01/2025","1.595","1.620","1.620","1.585","69,60K","-0,93%"
"10/01/2025","1.610","1.590","1.620","1.590","26,60K","1,26%"
"09/01/2025","1.590","1.595","1.595","1.585","11,70K","0,32%"
"08/01/2025","1.585","1.590","1.595","1.585","73,50K","0,00%"
"07/01/2025","1.585","1.600","1.610","1.580","149,80K","-0,94%"
"06/01/2025","1.600","1.610","1.615","1.590","53,20K","-0,62%"
"03/01/2025","1.610","1.615","1.615","1.605","13,60K","0,00%"
"02/01/2025","1.610","1.605","1.615","1.600","34,20K","0,31%"
"30/12/2024","1.605","1.605","1.605","1.590","28,40K","0,00%"
"27/12/2024","1.605","1.600","1.605","1.585","24,70K","0,63%"
"24/12/2024","1.595","1.590","1.600","1.590","27,10K","0,00%"
"23/12/2024","1.595","1.585","1.600","1.585","21,30K","0,63%"
"20/12/2024","1.585","1.590","1.590","1.580","80,40K","-0,31%"
"19/12/2024","1.590","1.605","1.605","1.555","249,50K","-0,93%"
"18/12/2024","1.605","1.605","1.625","1.575","390,30K","0,00%"
"17/12/2024","1.605","1.610","1.635","1.605","38,60K","0,00%"
"16/12/2024","1.605","1.620","1.625","1.605","371,60K","-0,93%"
"13/12/2024","1.620","1.635","1.635","1.620","56,90K","-0,31%"
"12/12/2024","1.625","1.635","1.635","1.620","14,10K","-0,31%"
"11/12/2024","1.630","1.640","1.640","1.620","124,00K","-0,31%"
"10/12/2024","1.635","1.630","1.635","1.625","33,10K","0,31%"
"09/12/2024","1.630","1.635","1.640","1.625","54,00K","-0,61%"
"06/12/2024","1.640","1.630","1.640","1.630","20,50K","0,31%"
"05/12/2024","1.635","1.640","1.640","1.625","18,20K","-0,30%"
"04/12/2024","1.640","1.640","1.645","1.635","34,60K","0,31%"
"03/12/2024","1.635","1.620","1.635","1.620","52,70K","0,62%"
"02/12/2024","1.625","1.640","1.640","1.620","40,80K","0,00%"
"29/11/2024","1.625","1.625","1.630","1.620","53,50K","-0,61%"
"28/11/2024","1.635","1.630","1.640","1.625","33,80K","0,62%"
"26/11/2024","1.625","1.635","1.635","1.625","29,30K","-0,61%"
"25/11/2024","1.635","1.625","1.645","1.620","32,10K","0,93%"
"22/11/2024","1.620","1.635","1.645","1.620","201,70K","-0,92%"
"21/11/2024","1.635","1.650","1.650","1.630","89,40K","-0,61%"
"20/11/2024","1.645","1.645","1.645","1.630","88,60K","0,00%"
"19/11/2024","1.645","1.630","1.655","1.630","82,80K","0,92%"
"18/11/2024","1.630","1.660","1.660","1.630","218,80K","-1,81%"
"15/11/2024","1.660","1.650","1.660","1.635","349,70K","0,61%"
"14/11/2024","1.650","1.655","1.655","1.640","290,50K","-0,30%"
"13/11/2024","1.655","1.655","1.655","1.640","201,90K","0,00%"
"12/11/2024","1.655","1.655","1.665","1.630","252,50K","0,00%"
"11/11/2024","1.655","1.670","1.670","1.625","302,80K","-0,90%"
"08/11/2024","1.670","1.635","1.670","1.625","563,90K","2,45%"
"07/11/2024","1.630","1.645","1.655","1.630","161,90K","-0,91%"
"06/11/2024","1.645","1.640","1.665","1.640","430,90K","0,30%"
"05/11/2024","1.640","1.650","1.660","1.640","92,90K","0,00%"
"04/11/2024","1.640","1.655","1.660","1.640","140,20K","-0,91%"
"01/11/2024","1.655","1.670","1.670","1.620","248,90K","-0,30%"
"31/10/2024","1.660","1.670","1.680","1.650","140,20K","-0,60%"
"30/10/2024","1.670","1.625","1.685","1.625","601,70K","2,45%"
"29/10/2024","1.630","1.625","1.645","1.625","86,10K","0,31%"
"28/10/2024","1.625","1.650","1.650","1.625","227,00K","-1,52%"
"25/10/2024","1.650","1.635","1.655","1.635","124,90K","0,92%"
"24/10/2024","1.635","1.640","1.650","1.635","18,80K","0,00%"
"23/10/2024","1.635","1.640","1.650","1.630","52,50K","0,00%"
"22/10/2024","1.635","1.645","1.645","1.630","70,10K","-0,30%"
"21/10/2024","1.640","1.650","1.650","1.630","74,80K","0,61%"
"18/10/2024","1.630","1.635","1.650","1.630","27,00K","-0,31%"
"17/10/2024","1.635","1.635","1.640","1.615","27,00K","0,00%"
"16/10/2024","1.635","1.640","1.640","1.615","50,60K","-0,30%"
"15/10/2024","1.640","1.645","1.660","1.630","47,00K","-0,30%"
"14/10/2024","1.645","1.655","1.660","1.635","29,30K","-0,60%"
"11/10/2024","1.655","1.655","1.665","1.645","159,70K","0,00%"
"10/10/2024","1.655","1.635","1.660","1.630","255,30K","1,53%"
"09/10/2024","1.630","1.630","1.635","1.620","109,20K","0,00%"
"08/10/2024","1.630","1.625","1.630","1.610","99,00K","0,62%"
"07/10/2024","1.620","1.620","1.625","1.615","170,00K","0,00%"
"04/10/2024","1.620","1.620","1.620","1.605","45,60K","0,00%"
"03/10/2024","1.620","1.625","1.625","1.610","40,10K","0,31%"
"02/10/2024","1.615","1.610","1.625","1.610","67,70K","0,31%"
"01/10/2024","1.610","1.620","1.625","1.600","166,20K","0,31%"
"30/09/2024","1.605","1.620","1.620","1.600","133,80K","-0,93%"
"27/09/2024","1.620","1.610","1.620","1.610","283,50K","1,25%"
"26/09/2024","1.600","1.635","1.640","1.600","566,50K","-2,14%"
"25/09/2024","1.635","1.625","1.640","1.625","352,90K","0,62%"
"24/09/2024","1.625","1.620","1.630","1.620","102,30K","0,31%"
"23/09/2024","1.620","1.625","1.625","1.610","111,80K","-0,31%"
"20/09/2024","1.625","1.620","1.630","1.615","145,90K","0,31%"
"19/09/2024","1.620","1.620","1.620","1.605","113,30K","0,31%"
"18/09/2024","1.615","1.605","1.620","1.605","210,50K","0,31%"
"17/09/2024","1.610","1.595","1.615","1.595","136,90K","0,63%"
"13/09/2024","1.600","1.610","1.620","1.595","407,50K","-0,62%"
"12/09/2024","1.610","1.610","1.620","1.595","421,10K","0,00%"
"11/09/2024","1.610","1.615","1.615","1.605","138,50K","0,00%"
"10/09/2024","1.610","1.620","1.620","1.605","79,50K","0,00%"
"09/09/2024","1.610","1.605","1.615","1.605","86,40K","-0,31%"
"06/09/2024","1.615","1.610","1.625","1.605","118,70K","0,31%"
"05/09/2024","1.610","1.610","1.620","1.605","45,70K","0,00%"
"04/09/2024","1.610","1.610","1.610","1.600","58,00K","0,00%"
"03/09/2024","1.610","1.605","1.620","1.605","212,40K","0,31%"
"02/09/2024","1.605","1.615","1.620","1.605","427,00K","-0,62%"
"30/08/2024","1.615","1.650","1.650","1.615","533,00K","-1,22%"
"29/08/2024","1.635","1.625","1.660","1.625","727,80K","1,55%"
"28/08/2024","1.610","1.620","1.620","1.610","78,20K","-0,31%"
"27/08/2024","1.615","1.610","1.620","1.605","67,10K","0,31%"
"26/08/2024","1.610","1.600","1.620","1.600","246,70K","0,94%"
"23/08/2024","1.595","1.615","1.630","1.595","703,80K","-0,93%"
"22/08/2024","1.610","1.620","1.620","1.600","150,50K","-0,62%"
"21/08/2024","1.620","1.615","1.630","1.615","100,50K","0,62%"
"20/08/2024","1.610","1.610","1.615","1.605","108,50K","0,31%"
"19/08/2024","1.605","1.605","1.610","1.600","64,30K","0,00%"
"16/08/2024","1.605","1.600","1.605","1.595","77,20K","0,31%"
"15/08/2024","1.600","1.600","1.605","1.595","72,00K","0,00%"
"14/08/2024","1.600","1.600","1.605","1.595","58,50K","0,31%"
"13/08/2024","1.595","1.600","1.600","1.590","120,20K","0,00%"
"12/08/2024","1.595","1.600","1.605","1.590","83,60K","-0,31%"
"09/08/2024","1.600","1.590","1.605","1.590","86,20K","0,63%"
"08/08/2024","1.590","1.585","1.600","1.585","51,80K","0,32%"
"07/08/2024","1.585","1.580","1.585","1.580","95,60K","0,32%"
"06/08/2024","1.580","1.575","1.600","1.560","180,50K","0,32%"
"05/08/2024","1.575","1.605","1.605","1.565","515,30K","-1,87%"
"02/08/2024","1.605","1.605","1.610","1.600","146,30K","0,00%"
"01/08/2024","1.605","1.625","1.625","1.575","295,90K","-0,62%"
"31/07/2024","1.615","1.660","1.665","1.570","1,86M","-2,71%"
"30/07/2024","1.660","1.665","1.670","1.655","125,10K","0,00%"
"29/07/2024","1.660","1.660","1.670","1.645","207,50K","0,00%"
"26/07/2024","1.660","1.665","1.665","1.655","221,50K","0,00%"
"25/07/2024","1.660","1.670","1.670","1.655","342,60K","0,00%"
"24/07/2024","1.660","1.670","1.670","1.655","181,90K","-0,60%"
"23/07/2024","1.670","1.670","1.675","1.665","140,70K","0,00%"
"22/07/2024","1.670","1.660","1.670","1.660","315,90K","0,60%"
"19/07/2024","1.660","1.660","1.665","1.655","173,40K","0,30%"
"18/07/2024","1.655","1.665","1.665","1.650","199,00K","0,00%"
"17/07/2024","1.655","1.665","1.670","1.655","198,90K","-0,60%"
"16/07/2024","1.665","1.655","1.670","1.655","133,10K","0,60%"
"15/07/2024","1.655","1.655","1.665","1.650","257,70K","0,00%"
"12/07/2024","1.655","1.650","1.660","1.640","153,60K","0,61%"
"11/07/2024","1.645","1.645","1.655","1.640","291,20K","0,00%"
"10/07/2024","1.645","1.645","1.655","1.635","196,80K","0,00%"
"09/07/2024","1.645","1.660","1.660","1.610","627,30K","-0,30%"
"08/07/2024","1.650","1.645","1.660","1.635","422,90K","0,61%"
"05/07/2024","1.640","1.660","1.665","1.635","637,90K","-0,91%"
"04/07/2024","1.655","1.630","1.680","1.615","1,19M","1,22%"
"03/07/2024","1.635","1.700","1.700","1.630","1,48M","-3,54%"
"02/07/2024","1.695","1.765","1.765","1.680","2,34M","-10,55%"
"01/07/2024","1.895","1.880","1.900","1.875","3,20M","1,07%"
"28/06/2024","1.875","1.860","1.900","1.860","1,72M","0,81%"
"27/06/2024","1.860","1.820","1.870","1.820","1,59M","2,48%"
"26/06/2024","1.815","1.750","1.815","1.750","1,19M","3,71%"
"25/06/2024","1.750","1.760","1.775","1.740","224,80K","-1,13%"
"24/06/2024","1.770","1.725","1.800","1.725","893,30K","2,91%"
"21/06/2024","1.720","1.685","1.730","1.685","847,10K","2,08%"
"20/06/2024","1.685","1.680","1.685","1.675","35,00K","0,30%"
"19/06/2024","1.680","1.675","1.685","1.660","188,10K","0,00%"
"14/06/2024","1.680","1.670","1.690","1.660","222,10K","0,60%"
"13/06/2024","1.670","1.675","1.680","1.665","16,00K","-0,30%"
"12/06/2024","1.675","1.690","1.690","1.660","200,90K","-0,89%"
"11/06/2024","1.690","1.695","1.695","1.670","113,20K","-0,29%"
"10/06/2024","1.695","1.690","1.695","1.670","122,30K","0,59%"
"07/06/2024","1.685","1.690","1.695","1.680","64,60K","0,30%"
"06/06/2024","1.680","1.680","1.690","1.675","61,10K","0,00%"
"05/06/2024","1.680","1.695","1.695","1.675","62,40K","0,00%"
"04/06/2024","1.680","1.670","1.695","1.665","143,70K","0,90%"
"03/06/2024","1.665","1.675","1.695","1.660","98,90K","-0,30%"
"31/05/2024","1.670","1.685","1.700","1.670","52,30K","0,00%"
"30/05/2024","1.670","1.685","1.685","1.660","111,70K","-0,89%"
"29/05/2024","1.685","1.690","1.690","1.670","103,60K","0,30%"
"28/05/2024","1.680","1.690","1.700","1.675","144,10K","-0,59%"
"27/05/2024","1.690","1.685","1.700","1.670","382,80K","0,60%"
"22/05/2024","1.680","1.670","1.690","1.665","77,10K","0,60%"
"21/05/2024","1.670","1.680","1.685","1.670","36,20K","-0,60%"
"20/05/2024","1.680","1.665","1.685","1.665","116,40K","0,90%"
"17/05/2024","1.665","1.675","1.675","1.660","12,20K","0,00%"
"16/05/2024","1.665","1.670","1.675","1.655","114,50K","0,91%"
"15/05/2024","1.650","1.670","1.675","1.650","53,50K","-0,60%"
"14/05/2024","1.660","1.670","1.680","1.650","42,00K","0,00%"
"13/05/2024","1.660","1.635","1.660","1.630","78,30K","1,53%"
"08/05/2024","1.635","1.685","1.685","1.625","93,90K","-2,10%"
"07/05/2024","1.670","1.680","1.680","1.660","34,70K","-0,60%"
"06/05/2024","1.680","1.645","1.680","1.645","109,30K","2,13%"
"03/05/2024","1.645","1.650","1.655","1.645","142,70K","-0,30%"
"02/05/2024","1.650","1.650","1.660","1.630","297,80K","0,00%"
"30/04/2024","1.650","1.625","1.650","1.620","192,60K","1,85%"
"29/04/2024","1.620","1.640","1.640","1.615","46,50K","-0,61%"
"26/04/2024","1.630","1.635","1.645","1.630","86,20K","0,00%"
"25/04/2024","1.630","1.630","1.635","1.625","5,10K","0,31%"
"24/04/2024","1.625","1.625","1.640","1.625","29,30K","-0,31%"
"23/04/2024","1.630","1.625","1.640","1.625","116,90K","0,62%"
"22/04/2024","1.620","1.620","1.640","1.620","66,30K","0,00%"
"19/04/2024","1.620","1.630","1.635","1.620","224,20K","-0,61%"
"18/04/2024","1.630","1.630","1.630","1.625","48,20K","0,00%"
"17/04/2024","1.630","1.640","1.640","1.625","33,40K","-0,61%"
"16/04/2024","1.640","1.645","1.645","1.620","54,60K","-0,30%"
"05/04/2024","1.645","1.630","1.650","1.630","34,70K","0,92%"
"04/04/2024","1.630","1.635","1.640","1.625","349,20K","-0,31%"
"03/04/2024","1.635","1.640","1.640","1.630","42,80K","0,31%"
"02/04/2024","1.630","1.630","1.650","1.625","143,00K","0,00%"
"01/04/2024","1.630","1.620","1.645","1.620","119,40K","0,62%"
"28/03/2024","1.620","1.625","1.630","1.620","141,80K","-0,31%"
"27/03/2024","1.625","1.625","1.630","1.620","143,50K","0,31%"
"26/03/2024","1.620","1.635","1.635","1.610","1,11M","-0,92%"
"25/03/2024","1.635","1.610","1.650","1.610","973,30K","1,55%"
"22/03/2024","1.610","1.615","1.655","1.610","97,50K","-0,31%"
"21/03/2024","1.615","1.605","1.615","1.600","93,60K","0,62%"
"20/03/2024","1.605","1.605","1.615","1.600","103,60K","0,00%"
"19/03/2024","1.605","1.605","1.620","1.600","70,60K","0,00%"
"18/03/2024","1.605","1.610","1.625","1.605","44,00K","-0,31%"
"15/03/2024","1.610","1.615","1.615","1.605","91,20K","-0,31%"
"14/03/2024","1.615","1.615","1.620","1.605","66,40K","0,00%"
"13/03/2024","1.615","1.620","1.630","1.615","121,90K","-0,31%"
"08/03/2024","1.620","1.610","1.625","1.605","157,60K","0,93%"
"07/03/2024","1.605","1.605","1.620","1.600","92,90K","0,00%"
"06/03/2024","1.605","1.610","1.620","1.595","116,40K","-0,62%"
"05/03/2024","1.615","1.625","1.630","1.615","106,10K","-0,31%"
"04/03/2024","1.620","1.630","1.635","1.615","39,40K","-0,61%"
"01/03/2024","1.630","1.625","1.630","1.620","46,10K","0,31%"
"29/02/2024","1.625","1.625","1.630","1.625","27,80K","-0,31%"
"28/02/2024","1.630","1.625","1.630","1.620","60,60K","0,62%"
"27/02/2024","1.620","1.630","1.630","1.615","50,90K","-0,61%"
"26/02/2024","1.630","1.640","1.640","1.620","37,40K","-0,61%"
"23/02/2024","1.640","1.645","1.645","1.625","16,30K","0,00%"
"22/02/2024","1.640","1.630","1.640","1.620","54,50K","0,61%"
"21/02/2024","1.630","1.635","1.645","1.620","124,40K","-0,31%"
"20/02/2024","1.635","1.650","1.650","1.620","116,40K","-0,91%"
"19/02/2024","1.650","1.670","1.690","1.650","112,80K","-0,60%"
"16/02/2024","1.660","1.675","1.700","1.645","135,70K","-0,90%"
"15/02/2024","1.675","1.675","1.705","1.670","164,20K","0,00%"
"13/02/2024","1.675","1.650","1.675","1.650","71,40K","1,52%"
"12/02/2024","1.650","1.650","1.655","1.635","25,80K","0,00%"
"07/02/2024","1.650","1.645","1.650","1.630","31,30K","0,30%"
"06/02/2024","1.645","1.635","1.645","1.630","25,10K","0,61%"
"05/02/2024","1.635","1.635","1.655","1.625","61,40K","0,00%"
"02/02/2024","1.635","1.635","1.640","1.630","84,00K","0,00%"
"01/02/2024","1.635","1.630","1.670","1.630","88,20K","0,31%"
"31/01/2024","1.630","1.620","1.650","1.620","159,90K","0,62%"
"30/01/2024","1.620","1.645","1.650","1.620","329,70K","-1,52%"
"29/01/2024","1.645","1.655","1.670","1.645","75,70K","-0,60%"
"26/01/2024","1.655","1.670","1.670","1.650","56,20K","-0,90%"
"25/01/2024","1.670","1.650","1.700","1.645","73,30K","1,21%"
"24/01/2024","1.650","1.675","1.675","1.645","105,60K","-1,49%"
"23/01/2024","1.675","1.690","1.690","1.675","68,40K","-0,89%"
"22/01/2024","1.690","1.685","1.695","1.675","57,70K","0,60%"
"19/01/2024","1.680","1.670","1.680","1.670","89,40K","0,00%"
"18/01/2024","1.680","1.675","1.680","1.670","50,50K","0,00%"
"17/01/2024","1.680","1.690","1.690","1.675","76,40K","-0,30%"
"16/01/2024","1.685","1.675","1.690","1.670","223,50K","0,60%"
"15/01/2024","1.675","1.670","1.675","1.665","71,80K","0,30%"
"12/01/2024","1.670","1.670","1.680","1.665","67,30K","-0,30%"
"11/01/2024","1.675","1.690","1.690","1.665","82,50K","-0,89%"
"10/01/2024","1.690","1.670","1.695","1.670","38,60K","1,20%"
"09/01/2024","1.670","1.665","1.675","1.650","92,00K","0,60%"
"08/01/2024","1.660","1.650","1.665","1.645","91,30K","0,61%"
"05/01/2024","1.650","1.660","1.660","1.650","79,00K","-0,60%"
"04/01/2024","1.660","1.650","1.660","1.635","115,40K","0,61%"
"03/01/2024","1.650","1.640","1.650","1.630","154,50K","0,61%"
"02/01/2024","1.640","1.630","1.640","1.615","113,00K","1,55%"
"29/12/2023","1.615","1.630","1.635","1.615","81,60K","-0,62%"
"28/12/2023","1.625","1.630","1.630","1.620","39,60K","0,00%"
"27/12/2023","1.625","1.625","1.635","1.620","54,60K","0,00%"
"22/12/2023","1.625","1.620","1.635","1.615","45,90K","0,31%"
"21/12/2023","1.620","1.625","1.630","1.615","757,80K","-0,31%"
"20/12/2023","1.625","1.625","1.630","1.620","99,00K","0,00%"
"19/12/2023","1.625","1.610","1.625","1.610","74,50K","0,31%"
"18/12/2023","1.620","1.615","1.630","1.615","68,00K","0,31%"
"15/12/2023","1.615","1.610","1.620","1.600","24,80K","0,00%"
"14/12/2023","1.615","1.600","1.620","1.600","80,00K","0,31%"
"13/12/2023","1.610","1.615","1.615","1.590","192,50K","-0,62%"
"12/12/2023","1.620","1.630","1.630","1.600","55,90K","-0,61%"
"11/12/2023","1.630","1.630","1.630","1.600","25,40K","0,00%"
"08/12/2023","1.630","1.625","1.630","1.600","92,90K","1,56%"
"07/12/2023","1.605","1.635","1.635","1.560","45,70K","-1,53%"
"06/12/2023","1.630","1.620","1.630","1.615","474,20K","0,62%"
"05/12/2023","1.620","1.615","1.625","1.605","36,20K","0,93%"
"04/12/2023","1.605","1.615","1.615","1.540","567,40K","0,00%"
"01/12/2023","1.605","1.625","1.640","1.605","676,70K","-1,23%"
"30/11/2023","1.625","1.625","1.640","1.620","94,50K","0,00%"
"29/11/2023","1.625","1.630","1.640","1.625","130,20K","0,00%"
"28/11/2023","1.625","1.630","1.635","1.615","115,10K","-0,31%"
"27/11/2023","1.630","1.590","1.635","1.590","165,20K","2,52%"
"24/11/2023","1.590","1.575","1.600","1.575","125,50K","0,95%"
"23/11/2023","1.575","1.580","1.595","1.570","163,40K","-0,32%"
"22/11/2023","1.580","1.575","1.590","1.555","194,20K","0,32%"
"21/11/2023","1.575","1.560","1.585","1.555","96,00K","0,96%"
"20/11/2023","1.560","1.555","1.570","1.555","75,50K","0,32%"
"17/11/2023","1.555","1.560","1.570","1.555","83,10K","-0,32%"
"16/11/2023","1.560","1.540","1.570","1.515","78,30K","-0,32%"
"15/11/2023","1.565","1.560","1.590","1.555","84,10K","0,32%"
"14/11/2023","1.560","1.560","1.565","1.550","139,00K","0,00%"
"13/11/2023","1.560","1.560","1.570","1.560","75,30K","0,32%"
"10/11/2023","1.555","1.570","1.570","1.555","97,60K","-0,96%"
"09/11/2023","1.570","1.565","1.575","1.560","57,30K","0,64%"
"08/11/2023","1.560","1.575","1.575","1.555","211,70K","-0,95%"
"07/11/2023","1.575","1.580","1.595","1.550","108,40K","-0,32%"
"06/11/2023","1.580","1.595","1.595","1.580","217,10K","-0,63%"
"03/11/2023","1.590","1.585","1.595","1.565","168,80K","0,32%"
"02/11/2023","1.585","1.595","1.615","1.580","441,70K","-0,63%"
"01/11/2023","1.595","1.610","1.620","1.590","438,00K","-0,93%"
"31/10/2023","1.610","1.650","1.650","1.590","215,60K","-2,42%"
"30/10/2023","1.650","1.660","1.675","1.645","124,30K","-0,60%"
"27/10/2023","1.660","1.665","1.675","1.655","159,40K","0,00%"
"26/10/2023","1.660","1.680","1.715","1.650","133,60K","-0,90%"
"25/10/2023","1.675","1.685","1.685","1.670","80,90K","-0,59%"
"24/10/2023","1.685","1.680","1.685","1.670","68,90K","0,60%"
"23/10/2023","1.675","1.690","1.690","1.665","222,10K","-0,89%"
"20/10/2023","1.690","1.700","1.700","1.690","201,90K","-0,29%"
"19/10/2023","1.695","1.705","1.705","1.680","390,30K","-0,59%"
"18/10/2023","1.705","1.695","1.715","1.695","570,30K","-0,29%"
"17/10/2023","1.710","1.710","1.715","1.705","293,30K","0,00%"
"16/10/2023","1.710","1.715","1.720","1.710","69,00K","-0,29%"
"13/10/2023","1.715","1.715","1.720","1.710","64,70K","0,00%"
